JobName : 643494-1-1-XWafer_YWafer
SerialNum : 643494-1-1-XWafer ; 643494-1-1-YWafer
DateTime : August 1, 2025 09:27:17 EDT
OperatorName : bmowry
LaserID : Renishaw 1 : Mirror 1
StageLabel : ALS20035-ES15925-03 ; ALS20035-ES15925-04
Calibrated : 1 ; 1
CoefficientOfThermalExpansion : 7.5 ; 7.5
ControllerVerison : Automation1 2.10.2
Iterations : 1
BiDirectional : 0
ConversionFactor : 1
BacklashDistance : 0 ; 0
CountsPerUnit : 100000 ; 100000
TestType : Accuracy2D
OpticLocation : 25.4mm above TWafer tt
Payload : 1.4kg
CalibrationFile : None
HomePositionSet : 0 ; 0
TestOrientation : Lower Axis ; Upper Axis
MotionDirection : 1 ; 1
AmplifierType : ACBrushlessLinear Rev(-) @ 7.3 Amps ; ACBrushlessLinear Rev(-) @ 7.3 Amps
MoveVelocity : 5
MoveAcceleration : 75
AxisIndex : 6 ; 5
EncoderFamily : I ; I
HomeOffset : -148.659945 ; -199.206036
HomeDirection : U ; U
GantryAxes : -1 ; -1
StageSerialNumber : 518496-01 ; 518497-01

DBase Info
DriveEncoderMultiplier : 2000 ; 2000
DriveFeedbackType : Incremental Encoder Sine Wave ; Incremental Encoder Sine Wave
StepSize : 5 ; 5
TestLength : 350 ; 350
FirmwareVersion : 2.10.2.2512

Ignored

       Position1         LaserData1       Position2         LaserData2   AirTemp   MatTemp  Pressure  Humidity
:START
    300.00000000          300.00058      5.00000000            4.86136     21.15     21.31    740.01     66.00
    305.00000000          305.00070      5.00000000            4.85854     21.15     21.31    740.01     66.00
    310.00000000          310.00057      5.00000000            4.85614     21.15     21.31    740.01     66.00
    315.00000000          315.00084      5.00000000            4.85351     21.15     21.31    740.01     66.00
    320.00000000          320.00117      5.00000000            4.85132     21.15     21.31    740.01     66.00
    325.00000000          325.00164      5.00000000            4.84943     21.15     21.31    740.01     66.00
    330.00000000          330.00186      5.00000000            4.84792     21.15     21.31    740.01     66.00
    335.00000000          335.00203      5.00000000            4.84612     21.15     21.31    740.01     66.00
    340.00000000          340.00189      5.00000000            4.84437     21.15     21.31    740.01     66.00
    345.00000000          345.00151      5.00000000            4.84279     21.15     21.31    740.01     66.00
    350.00000000          350.00148      5.00000000            4.84173     21.15     21.31    740.01     66.00
      0.00000000            0.00566     10.00000000            9.99759     21.15     21.31    740.01     66.00
      5.00000000            5.00575     10.00000000            9.99574     21.15     21.31    740.01     66.00
     10.00000000           10.00594     10.00000000            9.99391     21.15     21.31    740.01     66.00
     15.00000000           15.00558     10.00000000            9.99191     21.15     21.31    740.01     66.00
     20.00000000           20.00541     10.00000000            9.98961     21.15     21.31    740.01     66.00
     25.00000000           25.00569     10.00000000            9.98721     21.15     21.31    740.01     66.00
     30.00000000           30.00550     10.00000000            9.98562     21.15     21.31    740.01     66.00
     35.00000000           35.00548     10.00000000            9.98369     21.15     21.31    740.01     66.00
     40.00000000           40.00536     10.00000000            9.98169     21.15     21.31    740.01     66.00
     45.00000000           45.00542     10.00000000            9.97938     21.15     21.31    740.01     66.00
     50.00000000           50.00542     10.00000000            9.97779     21.15     21.31    740.01     66.00
     55.00000000           55.00528     10.00000000            9.97592     21.15     21.31    740.01     66.00
     60.00000000           60.00535     10.00000000            9.97421     21.15     21.31    740.01     66.00
     65.00000000           65.00589     10.00000000            9.97205     21.15     21.31    740.01     66.00
     70.00000000           70.00598     10.00000000            9.97039     21.15     21.31    740.01     66.00
     75.00000000           75.00553     10.00000000            9.96850     21.15     21.31    740.01     66.00
     80.00000000           80.00535     10.00000000            9.96647     21.15     21.31    740.01     66.00
     85.00000000           85.00532     10.00000000            9.96423     21.15     21.31    740.01     66.00
     90.00000000           90.00540     10.00000000            9.96223     21.15     21.31    740.01     66.00
     95.00000000           95.00568     10.00000000            9.95986     21.15     21.31    740.01     66.00
    100.00000000          100.00573     10.00000000            9.95769     21.15     21.31    740.01     66.00
    105.00000000          105.00595     10.00000000            9.95549     21.15     21.31    740.01     66.00
    110.00000000          110.00610     10.00000000            9.95331     21.15     21.31    740.01     66.00
    115.00000000          115.00595     10.00000000            9.95085     21.15     21.31    740.01     66.00
    120.00000000          120.00606     10.00000000            9.94803     21.15     21.31    740.01     66.00
    125.00000000          125.00586     10.00000000            9.94497     21.15     21.31    740.01     66.00
    130.00000000          130.00583     10.00000000            9.94229     21.15     21.31    740.01     66.00
    135.00000000          135.00558     10.00000000            9.93934     21.15     21.31    740.01     66.00
    140.00000000          140.00505     10.00000000            9.93646     21.15     21.31    740.01     66.00
    145.00000000          145.00503     10.00000000            9.93347     21.15     21.31    740.01     66.00
